real	0m0.015s
user	0m0.040s
sys	0m0.004s

real	0m0.011s
user	0m0.016s
sys	0m0.004s

real	0m0.016s
user	0m0.028s
sys	0m0.008s

real	0m0.011s
user	0m0.016s
sys	0m0.016s

real	0m0.035s
user	0m0.068s
sys	0m0.020s

real	0m0.037s
user	0m0.084s
sys	0m0.032s

real	0m0.057s
user	0m0.116s
sys	0m0.068s

real	0m0.105s
user	0m0.152s
sys	0m0.176s

real	0m0.193s
user	0m0.272s
sys	0m0.348s

real	0m0.380s
user	0m0.544s
sys	0m0.676s

real	0m0.775s
user	0m1.056s
sys	0m1.292s
